disease_nane,number_of_patiants
Z53.0 Procedure not carried out because of contraindication,6
R31 Unspecified haematuria,6
"M19.99 Arthrosis, unspecified (Site unspecified)",6
K58.9 Irritable bowel syndrome without diarrhoea,6
Z90.4 Acquired absence of other parts of digestive tract,6
R11 Nausea and vomiting,6
"R29.6 Tendency to fall, not elsewhere classified",6
"T81.0 Haemorrhage and haematoma complicating a procedure, not elsewhere classified",6
Y83.1 Surgical operation with implant of artificial internal device,6
B96.2 Escherichia coli [E. coli] as the cause of diseases classified to other chapters,6
"H26.9 Cataract, unspecified",6
G56.0 Carpal tunnel syndrome,6
E87.6 Hypokalaemia,6
"G91.9 Hydrocephalus, unspecified",5
"J44.9 Chronic obstructive pulmonary disease, unspecified",5
T85.0 Mechanical complication of ventricular intracranial (communicating) shunt,5
Z95.8 Presence of other cardiac and vascular implants and grafts,5
B96.8 Other specified bacterial agents as the cause of diseases classified to other chapters,5
"M13.9 Arthritis, unspecified",5
Z51.5 Palliative care,5
N81.1 Cystocele,5
R32 Unspecified urinary incontinence,5
K62.5 Haemorrhage of anus and rectum,5
M79.7 Fibromyalgia,5
I26.9 Pulmonary embolism without mention of acute cor pulmonale,5
K80.2 Calculus of gallbladder without cholecystitis,5
R79.8 Other specified abnormal findings of blood chemistry,5
I84.9 Unspecified haemorrhoids without complication,5
Y83.6 Removal of other organ (partial) (total),5
Z96.8 Presence of other specified functional implants,5
"I95.9 Hypotension, unspecified",5
R53 Malaise and fatigue,5
R56.8 Other and unspecified convulsions,5
"D50.9 Iron deficiency anaemia, unspecified",5
Z51.2 Other chemotherapy,5
"G81.9 Hemiplegia, unspecified",5
I20.0 Unstable angina,4
"M13.99 Arthritis, unspecified (Site unspecified)",4
"M15.9 Polyarthrosis, unspecified",4
N20.0 Calculus of kidney,4
N95.0 Postmenopausal bleeding,4
G55.1 Nerve root and plexus compressions in intervertebral disk disorders,4
Z09.0 Follow-up examination after surgery for other conditions,4
"Z92.4 Personal history of major surgery, not elsewhere classified",4
R12 Heartburn,4
"I50.9 Heart failure, unspecified",4
Z12.1 Special screening examination for neoplasm of intestinal tract,4
"M81.99 Osteoporosis, unspecified (Site unspecified)",4
Z80.0 Family history of malignant neoplasm of digestive organs,4
M51.3 Other specified intervertebral disk degeneration,4
G47.3 Sleep apnoea,4
Z87.8 Personal history of other specified conditions,4
"Z91.0 Personal history of allergy, other than to drugs and biological substances",4
"A41.9 Septicaemia, unspecified",4
I34.0 Mitral (valve) insufficiency,4
"J18.1 Lobar pneumonia, unspecified",4
R26.8 Other and unspecified abnormalities of gait and mobility,4
"M16.9 Coxarthrosis, unspecified",4
"M81.9 Osteoporosis, unspecified",4
M54.5 Low back pain,4
I50.1 Left ventricular failure,4
K21.0 Gastro-oesophageal reflux disease with oesophagitis,4
Z13.8 Special screening examination for other specified diseases and disorders,4
"R00.1 Bradycardia, unspecified",4
E86 Volume depletion,3
"M06.9 Rheumatoid arthritis, unspecified",3
"M06.90 Rheumatoid arthritis, unspecified (Multiple sites)",3
Z95.5 Presence of coronary angioplasty implant and graft,3
C56 Malignant neoplasm of ovary,3
R18 Ascites,3
"R19.0 Intra-abdominal and pelvic swelling, mass and lump",3
"T85.8 Other complications of internal prosthetic devices, implants and grafts, not elsewhere classified",3
"E78.5 Hyperlipidaemia, unspecified",3
"I60.9 Subarachnoid haemorrhage, unspecified",3
M51.1 Lumbar and other intervertebral disk disorders with radiculopathy,3
"T81.2 Accidental puncture and laceration during a procedure, not elsewhere classified",3
Y95 Nosocomial condition,3
R60.0 Localised oedema,3
"H53.9 Visual disturbance, unspecified",3
"M46.9 Inflammatory spondylopathy, unspecified",3
G93.3 Postviral fatigue syndrome,3
I84.8 Unspecified haemorrhoids with other complications,3
N39.3 Stress incontinence,3
R10.2 Pelvic and perineal pain,3
Z86.1 Personal history of infectious and parasitic diseases,3
Z88.2 Personal history of allergy to sulphonamides,3
G93.8 Other specified disorders of brain,3
"G40.9 Epilepsy, unspecified",3
N84.0 Polyp of corpus uteri,3
N92.1 Excessive and frequent menstruation with irregular cycle,3
R13 Dysphagia,3
G43.1 Migraine with aura [classical migraine],3
H00.1 Chalazion,3
R29.8 Other and unspecified symptoms and signs involving the nervous and musculoskeletal systems,3
R93.3 Abnormal findings on diagnostic imaging of other parts of digestive tract,3
W10.0 Home,3
N85.8 Other specified noninflammatory disorders of uterus,3
R94.5 Abnormal results of liver function studies,3
E66.8 Other obesity,3
Z99.8 Dependence on other enabling machines and devices,3
"F05.9 Delirium, unspecified",3
I48.0 Paroxysmal atrial fibrillation,3
R15 Faecal incontinence,3
"R50.9 Fever, unspecified",3
Z03.8 Observation for other suspected diseases and conditions,3
Z87.0 Personal history of diseases of the respiratory system,3
Z92.6 Personal history of chemotherapy for neoplastic disease,3
K76.8 Other specified diseases of liver,3
L03.1 Cellulitis of other parts of limb,3
"L30.9 Dermatitis, unspecified",3
M54.56 Low back pain (Lumbar region),3
M79.86 Other specified soft tissue disorders (Lower leg),3
D32.0 Cerebral meninges,3
Z85.3 Personal history of malignant neoplasm of breast,3
Z90.1 Acquired absence of breast(s),3
"D25.9 Leiomyoma of uterus, unspecified",3
"I63.9 Cerebral infarction, unspecified",3
"C50.9 Breast, unspecified",3
"I44.7 Left bundle-branch block, unspecified",3
Z85.8 Personal history of malignant neoplasms of other organs and systems,3
H02.8 Other specified disorders of eyelid,3
S06.60 Traumatic subarachnoid haemorrhage (without open intracranial wound),3
K42.9 Umbilical hernia without obstruction or gangrene,3
K63.8 Other specified diseases of intestine,3
"N18.9 Chronic renal failure, unspecified",3
R42 Dizziness and giddiness,3
"G45.9 Transient cerebral ischaemic attack, unspecified",3
I51.7 Cardiomegaly,3
"J90 Pleural effusion, not elsewhere classified",3
"K76.0 Fatty (change of) liver, not elsewhere classified",3
Z92.3 Personal history of irradiation,3
"N12 Tubulo-interstitial nephritis, not specified as acute or chronic",3
O70.0 First degree perineal laceration during delivery,3
"R00.0 Tachycardia, unspecified",3
R35 Polyuria,3
S06.50 Traumatic subdural haemorrhage (without open intracranial wound),3
Z42.0 Follow-up care involving plastic surgery of head and neck,3
Y83.8 Other surgical procedures,3
G91.1 Obstructive hydrocephalus,2
"G93.9 Disorder of brain, unspecified",2
"I21.9 Acute myocardial infarction, unspecified",2
I35.0 Aortic (valve) stenosis,2
"M06.99 Rheumatoid arthritis, unspecified (Site unspecified)",2
"H40.9 Glaucoma, unspecified",2
M17.1 Other primary gonarthrosis,2
M65.3 Trigger finger,2
M67.4 Ganglion,2
N13.2 Hydronephrosis with renal and ureteral calculous obstruction,2
N20.1 Calculus of ureter,2
Z51.1 Chemotherapy session for neoplasm,2
R05 Cough,2
A04.7 Enterocolitis due to Clostridium difficile,2
D25.1 Intramural leiomyoma of uterus,2
I25.8 Other forms of chronic ischaemic heart disease,2
"I73.9 Peripheral vascular disease, unspecified",2
J69.0 Pneumonitis due to food and vomit,2
L84 Corns and callosities,2
M54.39 Sciatica (Site unspecified),2
N72 Inflammatory disease of cervix uteri,2
R09.0 Asphyxia,2
R87.6 Abnormal cytological findings,2
Y84.2 Radiological procedure and radiotherapy,2
Z53.2 Procedure not carried out because of patient's decision for other and unspecified reasons,2
"N83.8 Other noninflammatory disorders of ovary, Fallopian tube and broad ligament",2
"E05.9 Thyrotoxicosis, unspecified",2
M23.26 Derangement of meniscus due to old tear or injury (Other and unspecified lateral meniscus),2
N32.8 Other specified disorders of bladder,2
R19.4 Change in bowel habit,2
R73.0 Abnormal glucose tolerance test,2
"B34.9 Viral infection, unspecified",2
"M19.94 Arthrosis, unspecified (Hand)",2
N73.6 Female pelvic peritoneal adhesions,2
N85.2 Hypertrophy of uterus,2
Y60.0 During surgical operation,2
Z88.5 Personal history of allergy to narcotic agent,2
M50.3 Other cervical disk degeneration,2
Z02.8 Other examinations for administrative purposes,2
G40.1 Localisation-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,2
K22.8 Other specified diseases of oesophagus,2
K80.1 Calculus of gallbladder with other cholecystitis,2
N80.0 Endometriosis of uterus,2
N80.3 Endometriosis of pelvic peritoneum,2
"N94.6 Dysmenorrhoea, unspecified",2
M75.0 Adhesive capsulitis of shoulder,2
R07.2 Precordial pain,2
R47.8 Other and unspecified speech disturbances,2
Z82.3 Family history of stroke,2
I62.0 Subdural haemorrhage (acute) (nontraumatic),2
M23.8 Other internal derangements of knee,2
B02.9 Zoster without complication,2
H53.8 Other visual disturbances,2
"J32.9 Chronic sinusitis, unspecified",2
"N30.9 Cystitis, unspecified",2
N81.3 Complete uterovaginal prolapse,2
Z45.8 Adjustment and management of other implanted devices,2
G57.6 Lesion of plantar nerve,2
I83.9 Varicose veins of lower extremities without ulcer or inflammation,2
"T85.6 Mechanical complication of other specified internal prosthetic devices, implants and grafts",2
"T85.7 Infection and inflammatory reaction due to other internal prosthetic devices, implants and grafts",2
A41.5 Septicaemia due to other Gram-negative organisms,2
C78.0 Secondary malignant neoplasm of lung,2
D70 Agranulocytosis,2
"E16.2 Hypoglycaemia, unspecified",2
E83.4 Disorders of magnesium metabolism,2
E83.5 Disorders of calcium metabolism,2
E87.1 Hypo-osmolality and hyponatraemia,2
I51.8 Other ill-defined heart diseases,2
"J18.9 Pneumonia, unspecified",2
K83.0 Cholangitis,2
L57.0 Actinic keratosis,2
R25.8 Other and unspecified abnormal involuntary movements,2
R59.0 Localised enlarged lymph nodes,2
R91 Abnormal findings on diagnostic imaging of lung,2
Z98.0 Intestinal bypass and anastomosis status,2
E89.0 Postprocedural hypothyroidism,2
K29.8 Duodenitis,2
M51.0 Lumbar and other intervertebral disk disorders with myelopathy,2
R21 Rash and other nonspecific skin eruption,2
R33 Retention of urine,2
"T81.4 Infection following a procedure, not elsewhere classified",2
M85.8 Other specified disorders of bone density and structure,2
"L98.9 Disorder of skin and subcutaneous tissue, unspecified",2
Z42.1 Follow-up care involving plastic surgery of breast,2
Z86.0 Personal history of other neoplasms,2
M79.66 Pain in limb (Lower leg),2
N81.6 Rectocele,2
Z09.2 Follow-up examination after chemotherapy for other conditions,2
X59.9 Unspecified place,2
C50.8 Overlapping lesion of breast,2
M47.86 Other spondylosis (Lumbar region),2
H35.3 Degeneration of macula and posterior pole,2
L90.5 Scar conditions and fibrosis of skin,2
"Z50.7 Occupational therapy and vocational rehabilitation, not elsewhere classified",2
K43.9 Ventral hernia without obstruction or gangrene,2
N20.2 Calculus of kidney with calculus of ureter,2
D50.8 Other iron deficiency anaemias,2
E11.3 With ophthalmic complications,2
H36.0 Diabetic retinopathy,2
I45.1 Other and unspecified right bundle-branch block,2
K31.8 Other specified diseases of stomach and duodenum,2
M20.4 Other hammer toe(s) (acquired),2
D23.3 Skin of other and unspecified parts of face,2
I95.1 Orthostatic hypotension,2
I50.0 Congestive heart failure,2
J44.0 Chronic obstructive pulmonary disease with acute lower respiratory infection,2
"M10.9 Gout, unspecified",2
"N18.3 Chronic kidney disease, stage 3",2
"W18.2 School, other institution and public administrative area",2
Z72.1 Alcohol use,2
J98.1 Pulmonary collapse,2
M25.55 Pain in joint (Pelvic region and thigh),2
K29.6 Other gastritis,2
"M13.94 Arthritis, unspecified (Hand)",2
M43.16 Spondylolisthesis (Lumbar region),2
"M54.9 Dorsalgia, unspecified",2
"I49.9 Cardiac arrhythmia, unspecified",2
M51.2 Other specified intervertebral disk displacement,2
"N18.4 Chronic kidney disease, stage 4",2
R39.8 Other and unspecified symptoms and signs involving the urinary system,2
"T82.8 Other complications of cardiac and vascular prosthetic devices, implants and grafts",2
"Y83.2 Surgical operation with anastomosis, bypass or graft",2
Z48.8 Other specified surgical follow-up care,2
D17.1 Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,2
J47 Bronchiectasis,2
J84.1 Other interstitial pulmonary diseases with fibrosis,2
"L08.9 Local infection of skin and subcutaneous tissue, unspecified",2
"M19.98 Arthrosis, unspecified (Other)",2
M77.4 Metatarsalgia,2
W19.9 Unspecified place,2
L72.1 Trichilemmal cyst,2
"N92.6 Irregular menstruation, unspecified",2
R14 Flatulence and related conditions,2
R47.1 Dysarthria and anarthria,2
G96.0 Cerebrospinal fluid leak,2
H53.2 Diplopia,2
"O42.1 Premature rupture of membranes, onset of labour after 24 hours",2
"D23.7 Skin of lower limb, including hip",2
G08 Intracranial and intraspinal phlebitis and thrombophlebitis,2
F10.0 Acute intoxication,2
S02.10 Fracture of base of skull (closed),2
S06.20 Diffuse brain injury (without open intracranial wound),2
W10.9 Unspecified place,2
"Z51.4 Preparatory care for treatment, not elsewhere classified",2
G93.6 Cerebral oedema,2
"K51.9 Ulcerative colitis, unspecified",2
"T81.8 Other complications of procedures, not elsewhere classified",2
K63.5 Polyp of colon,2
G00.1 Pneumococcal meningitis,1
H61.2 Impacted cerumen,1
"H70.9 Mastoiditis, unspecified",1
I24.8 Other forms of acute ischaemic heart disease,1
"I61.5 Intracerebral haemorrhage, intraventricular",1
"M06.91 Rheumatoid arthritis, unspecified (Shoulder region)",1
C78.6 Secondary malignant neoplasm of retroperitoneum and peritoneum,1
C80 Malignant neoplasm without specification of site,1
L30.8 Other specified dermatitis,1
"M17.0 Primary gonarthrosis, bilateral",1
"M46.99 Inflammatory spondylopathy, unspecified (Site unspecified)",1
"M47.94 Spondylosis, unspecified (Thoracic region)",1
"M65.96 Synovitis and tenosynovitis, unspecified (Lower leg)",1
R00.2 Palpitations,1
"R01.1 Cardiac murmur, unspecified",1
S61.0 Open wound of finger(s) without damage to nail,1
T88.4 Failed or difficult intubation,1
"N71.9 Inflammatory disease of uterus, unspecified",1
G97.1 Other reaction to spinal and lumbar puncture,1
B97.7 Papillomavirus as the cause of diseases classified to other chapters,1
D80.1 Nonfamilial hypogammaglobulinaemia,1
I22.1 Subsequent myocardial infarction of inferior wall,1
I60.3 Subarachnoid haemorrhage from posterior communicating artery,1
I63.8 Other cerebral infarction,1
I67.2 Cerebral atherosclerosis,1
J96.0 Acute respiratory failure,1
N87.0 Mild cervical dysplasia,1
R45.1 Restlessness and agitation,1
"Z03.9 Observation for suspected disease or condition, unspecified",1
C54.1 Endometrium,1
D26.1 Corpus uteri,1
M35.3 Polymyalgia rheumatica,1
M67.8 Other specified disorders of synovium and tendon,1
N90.4 Leukoplakia of vulva,1
E05.0 Thyrotoxicosis with diffuse goitre,1
B01.0 Varicella meningitis,1
D73.0 Hyposplenism,1
G02.0 Meningitis in viral diseases classified elsewhere,1
N90.7 Vulvar cyst,1
O16 Unspecified maternal hypertension,1
O72.1 Other immediate postpartum haemorrhage,1
"O80.9 Single spontaneous delivery, unspecified",1
Z30.1 Insertion of (intra-uterine) contraceptive device,1
"G95.9 Disease of spinal cord, unspecified",1
B07 Viral warts,1
"G04.9 Encephalitis, myelitis and encephalomyelitis, unspecified",1
H53.1 Subjective visual disturbances,1
H83.0 Labyrinthitis,1
I84.6 Residual haemorrhoidal skin tags,1
J39.2 Other diseases of pharynx,1
K60.1 Chronic anal fissure,1
K62.8 Other specified diseases of anus and rectum,1
N23 Unspecified renal colic,1
"N31.2 Flaccid neuropathic bladder, not elsewhere classified",1
"N35.9 Urethral stricture, unspecified",1
N80.1 Endometriosis of ovary,1
R04.2 Haemoptysis,1
"M41.95 Scoliosis, unspecified (Thoracolumbar region)",1
"N81.9 Female genital prolapse, unspecified",1
"T78.4 Allergy, unspecified",1
Z13.6 Special screening examination for cardiovascular disorders,1
D25.2 Subserosal leiomyoma of uterus,1
G40.3 Generalised idiopathic epilepsy and epileptic syndromes,1
K22.4 Dyskinesia of oesophagus,1
"K81.9 Cholecystitis, unspecified",1
"K91.8 Other postprocedural disorders of digestive system, not elsewhere classified",1
"L53.9 Erythematous condition, unspecified",1
N83.1 Corpus luteum cyst,1
Q50.4 Embryonic cyst of Fallopian tube,1
H49.1 Fourth [trochlear] nerve palsy,1
M25.81 Other specified joint disorders (Shoulder region),1
R52.1 Chronic intractable pain,1
Y85.0 Sequelae of motor-vehicle accident,1
E10.9 Without complications,1
F17.2 Dependence syndrome,1
H02.3 Blepharochalasis,1
H02.4 Ptosis of eyelid,1
I63.2 Cerebral infarction due to unspecified occlusion or stenosis of precerebral arteries,1
I65.2 Occlusion and stenosis of carotid artery,1
K01.1 Impacted teeth,1
"M19.91 Arthrosis, unspecified (Shoulder region)",1
"S42.9 Fracture of shoulder girdle, part unspecified",1
A04.8 Other specified bacterial intestinal infections,1
J31.0 Chronic rhinitis,1
"J33.9 Nasal polyp, unspecified",1
N88.2 Stricture and stenosis of cervix uteri,1
R23.2 Flushing,1
R25.2 Cramp and spasm,1
I80.8 Phlebitis and thrombophlebitis of other sites,1
K80.8 Other cholelithiasis,1
K81.0 Acute cholecystitis,1
T39.3 Other nonsteroidal anti-inflammatory drugs [NSAID],1
X60.0 Home,1
"Y84.9 Medical procedure, unspecified",1
M23.22 Derangement of meniscus due to old tear or injury (Posterior cruciate ligament or Posterior horn of medial meniscus),1
T83.3 Mechanical complication of intra-uterine contraceptive device,1
"T93.3 Sequelae of dislocation, sprain and strain of lower limb",1
"Z53.9 Procedure not carried out, unspecified reason",1
C25.0 Head of pancreas,1
C25.3 Pancreatic duct,1
"C25.9 Pancreas, unspecified",1
"C79.9 Secondary malignant neoplasm, unspecified site",1
E13.9 Without complications,1
E83.3 Disorders of phosphorus metabolism,1
F03 Unspecified dementia,1
"F05.0 Delirium not superimposed on dementia, so described",1
"G31.9 Degenerative disease of nervous system, unspecified",1
I67.8 Other specified cerebrovascular diseases,1
K83.1 Obstruction of bile duct,1
K90.8 Other intestinal malabsorption,1
M14.8 Arthropathies in other specified diseases classified elsewhere,1
M72.0 Palmar fascial fibromatosis [Dupuytren],1
R40.0 Somnolence,1
R40.1 Stupor,1
"R68.0 Hypothermia, not associated with low environmental temperature",1
R90.8 Other abnormal findings on diagnostic imaging of central nervous system,1
R93.2 Abnormal findings on diagnostic imaging of liver and biliary tract,1
Z82.6 Family history of arthritis and other diseases of the musculoskeletal system and connective tissue,1
"D12.6 Colon, unspecified",1
G56.2 Lesion of ulnar nerve,1
J46 Status asthmaticus,1
L28.1 Prurigo nodularis,1
L90.0 Lichen sclerosus et atrophicus,1
"M19.96 Arthrosis, unspecified-Lower leg",1
M23.33 Other meniscus derangements (Medial collateral ligament or Other and unspecified medial meniscus),1
M54.36 Sciatica (Lumbar region),1
M54.59 Low back pain (Site unspecified),1
"M71.95 Bursopathy, unspecified (Pelvic region and thigh)",1
M79.60 Pain in limb (Multiple sites),1
C71.2 Temporal lobe,1
"E07.9 Disorder of thyroid, unspecified",1
"E21.3 Hyperparathyroidism, unspecified",1
E89.2 Postprocedural hypoparathyroidism,1
H52.1 Myopia,1
J35.0 Chronic tonsillitis,1
D05.1 Intraductal carcinoma in situ,1
K64.0 First degree haemorrhoids,1
M85.45 Solitary bone cyst (Pelvic region and thigh),1
M94.85 Other specified disorders of cartilage (Pelvic region and thigh),1
K08.3 Retained dental root,1
K90.0 Coeliac disease,1
K92.0 Haematemesis,1
"M19.95 Arthrosis, unspecified (Pelvic region and thigh)",1
O21.0 Mild hyperemesis gravidarum,1
"O36.9 Maternal care for foetal problem, unspecified",1
O80.0 Spontaneous vertex delivery,1
"O99.5 Diseases of the respiratory system complicating pregnancy, childbirth and the puerperium",1
Z72.2 Drug use,1
G43.8 Other migraine,1
M70.6 Trochanteric bursitis,1
N88.8 Other specified noninflammatory disorders of cervix uteri,1
Z97.5 Presence of (intra-uterine) contraceptive device,1
K25.7 Chronic without haemorrhage or perforation,1
N76.2 Acute vulvitis,1
Z85.4 Personal history of malignant neoplasm of genital organs,1
H04.3 Acute and unspecified inflammation of lachrymal passages,1
"I64 Stroke, not specified as haemorrhage or infarction",1
M25.56 Pain in joint (Lower leg),1
N13.0 Hydronephrosis with ureteropelvic junction obstruction,1
Q21.1 Atrial septal defect,1
R68.8 Other specified general symptoms and signs,1
R77.8 Other specified abnormalities of plasma proteins,1
S62.30 Fracture of other metacarpal bone (closed),1
Z86.2 Personal history of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1
"Z87.7 Personal history of congenital malformations, deformations and chromosomal abnormalities",1
C69.0 Conjunctiva,1
C78.2 Secondary malignant neoplasm of pleura,1
C78.7 Secondary malignant neoplasm of liver,1
C79.7 Secondary malignant neoplasm of adrenal gland,1
D35.2 Pituitary gland,1
G58.0 Intercostal neuropathy,1
"T84.8 Other complications of internal orthopaedic prosthetic devices, implants and grafts",1
"C43.6 Malignant melanoma of upper limb, including shoulder",1
H47.3 Other disorders of optic disk,1
L85.8 Other specified epidermal thickening,1
S00.0 Superficial injury of scalp,1
S60.8 Other superficial injuries of wrist and hand,1
"M18.9 Arthrosis of first carpometacarpal joint, unspecified",1
N60.4 Mammary duct ectasia,1
N62 Hypertrophy of breast,1
R39.1 Other difficulties with micturition,1
R41.8 Other and unspecified symptoms and signs involving cognitive functions and awareness,1
E83.1 Disorders of iron metabolism,1
"M79.09 Rheumatism, unspecified (Site unspecified)",1
M79.79 Fibromyalgia (Site unspecified),1
Z90.5 Acquired absence of kidney,1
E87.2 Acidosis,1
"F01.9 Vascular dementia, unspecified",1
G44.2 Tension-type headache,1
I21.1 Acute transmural myocardial infarction of inferior wall,1
K04.7 Periapical abscess without sinus,1
M20.1 Hallux valgus (acquired),1
R57.0 Cardiogenic shock,1
"K25.9 Unspecified as acute or chronic, without haemorrhage or perforation",1
"K29.5 Chronic gastritis, unspecified",1
M47.8 Other spondylosis,1
M87.24 Osteonecrosis due to previous trauma (Hand),1
"C34.1 Upper lobe, bronchus or lung",1
"C34.9 Bronchus or lung, unspecified",1
H27.8 Other specified disorders of lens,1
I08.1 Disorders of both mitral and tricuspid valves,1
"I08.3 Combined disorders of mitral, aortic and tricuspid valves",1
I20.8 Other forms of angina pectoris,1
I22.9 Subsequent myocardial infarction of unspecified site,1
"I24.9 Acute ischaemic heart disease, unspecified",1
I25.2 Old myocardial infarction,1
I36.1 Nonrheumatic tricuspid (valve) insufficiency,1
I37.1 Pulmonary valve insufficiency,1
J00 Acute nasopharyngitis [common cold],1
J04.0 Acute laryngitis,1
M54.3 Sciatica,1
R04.0 Epistaxis,1
R63.4 Abnormal weight loss,1
S01.8 Open wound of other parts of head,1
Y44.2 Anticoagulants,1
"Z85.1 Personal history of malignant neoplasm of trachea, bronchus and lung",1
Z95.1 Presence of aortocoronary bypass graft,1
O63.0 Prolonged first stage (of labour),1
J38.0 Paralysis of vocal cords and larynx,1
J95.0 Tracheostomy malfunction,1
R06.1 Stridor,1
"R93.5 Abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum",1
Z93.0 Tracheostomy status,1
Z93.1 Gastrostomy status,1
H93.1 Tinnitus,1
K22.1 Ulcer of oesophagus,1
S36.9 Injury of unspecified intra-abdominal organ,1
S52.50 Fracture of lower end of radius (closed),1
W00.9 Unspecified place,1
Z83.7 Family history of diseases of the digestive system,1
"H02.9 Disorder of eyelid, unspecified",1
H11.2 Conjunctival scars,1
H15.0 Scleritis,1
H16.8 Other keratitis,1
H18.2 Other corneal oedema,1
H18.8 Other specified disorders of cornea,1
H20.1 Chronic iridocyclitis,1
"H20.9 Iridocyclitis, unspecified",1
K43.2 Incisional hernia without obstruction or gangrene,1
K56.2 Volvulus,1
K56.6 Other and unspecified intestinal obstruction,1
"K57.8 Diverticular disease of intestine, part unspecified, with perforation and abscess",1
K66.0 Peritoneal adhesions,1
"M13.0 Polyarthritis, unspecified",1
"M19.92 Arthrosis, unspecified (Upper arm)",1
M35.1 Other overlap syndromes,1
M35.8 Other specified systemic involvement of connective tissue,1
"M35.9 Systemic involvement of connective tissue, unspecified",1
"M47.92 Spondylosis, unspecified (Cervical region)",1
M77.1 Lateral epicondylitis,1
M85.83 Other specified disorders of bone density and structure (Forearm),1
N28.8 Other specified disorders of kidney and ureter,1
Z80.4 Family history of malignant neoplasm of genital organs,1
Z94.7 Corneal transplant status,1
B59 Pneumocystosis,1
"D53.9 Nutritional anaemia, unspecified",1
"G58.9 Mononeuropathy, unspecified",1
I07.1 Tricuspid insufficiency,1
I08.8 Other multiple valve diseases,1
I12.0 Hypertensive renal disease with renal failure,1
I12.9 Hypertensive renal disease without renal failure,1
I27.2 Other secondary pulmonary hypertension,1
"J02.9 Acute pharyngitis, unspecified",1
J17.3 Pneumonia in parasitic diseases,1
"K65.9 Peritonitis, unspecified",1
M85.89 Other specified disorders of bone density and structure (Site unspecified),1
"N11.9 Chronic tubulo-interstitial nephritis, unspecified",1
N13.6 Pyonephrosis,1
N17.0 Acute renal failure with tubular necrosis,1
N18.0 End-stage renal disease,1
"N18.5 Chronic kidney disease, stage 5",1
"N27.1 Small kidney, bilateral",1
R00.8 Other and unspecified abnormalities of heart beat,1
R20.2 Paraesthesia of skin,1
"R61.9 Hyperhidrosis, unspecified",1
"T82.9 Unspecified complication of cardiac and vascular prosthetic device, implant and graft",1
T86.1 Kidney transplant failure and rejection,1
Y83.0 Surgical operation with transplant of whole organ,1
Y84.1 Kidney dialysis,1
