Risk factor,ID,Subject,# items,# instances,pickle type,Do we have acsses,notes
,6144,"Never eat eggs, dairy, wheat, sugar","498,698",4,Diet,,
,1408,Cheese intake,"490,243",4,Diet,,
,1418,Milk type used,"501,511",4,Diet,,
,1428,Spread type,"498,698",4,Diet,,
,2654,Non-butter spread type details,"264,427",4,Diet,,
,1438,Bread intake,"498,698",4,Diet,,
,1448,Bread type,"483,601",4,Diet,,
,1458,Cereal intake,"501,480",4,Diet,,
,1468,Cereal type,"419,169",4,Diet,,
,1478,Salt added to food,"501,580",4,Diet,,
,1488,Tea intake,"501,580",4,Diet,,
,1498,Coffee intake,"501,580",4,Diet,,
,1508,Coffee type,"391,251",4,Diet,,
,1518,Hot drink temperature,"501,580",4,Diet,,
,1528,Water intake,"501,580",4,Diet,,
,1538,Major dietary changes in the last 5 years,"501,580",4,Diet,,
,1548,Variation in diet,"498,698",4,Diet,,
Alcohol,20117,Alcohol drinker status,"501,580",4,main,,
,1558,Alcohol intake frequency.,"501,580",4,main,,
,3731,Former alcohol drinker,,,Alcohol,,
,4407,Average monthly red wine intake,,,Alcohol,,
,4418,Average monthly champagne plus white wine intake,,,Alcohol,,
,4429,Average monthly beer plus cider intake,,,Alcohol,,
,4440,Average monthly spirits intake,,,Alcohol,,
,4451,Average monthly fortified wine intake,,,Alcohol,,
,4462,Average monthly intake of other alcoholic drinks,,,Alcohol,,
,1568,Average weekly red wine intake,,,Alcohol,,
,1578,Average weekly champagne plus white wine intake,,,Alcohol,,
,1588,Average weekly beer plus cider intake,,,Alcohol,,
,1598,Average weekly spirits intake,,,Alcohol,,
,1608,Average weekly fortified wine intake,,,Alcohol,,
,5364,Average weekly intake of other alcoholic drinks,,,Alcohol,,
,1618,Alcohol usually taken with meals,,,Alcohol,,
,1628,Alcohol intake versus 10 years previously,,,Alcohol,,
,2664,Reason for reducing amount of alcohol drunk,,,Alcohol,,
,3859,Reason former drinker stopped drinking alcohol,,,Alcohol,,
Status,6141,How are people in household related to participant,"409,429",4,main,,
Ethnic,21000,Ethnic background,"501,568",1,main,,
,20115,Country of Birth (non-UK origin),"40,564",,,,
,3659,Year immigrated to UK (United Kingdom),"46,069",3,,,
,1767,Adopted as a child,,,,,
Family background,20107,Illnesses of father,"488,051",4,main,,
,20110,Illnesses of mother,"492,957",4,main,,
,20111,Illnesses of siblings,"434,150",4,main,,
,1647,Country of birth (UK/elsewhere),"501,568",3,Family background,,
,1797,Father still alive,,,Family background,,
,2946,Father's age,,,Family background,,
,1807,Father's age at death,,,Family background,,
,1835,Mother still alive,,,Family background,,
,1845,Mother's age,,,Family background,,
,3526,Mother's age at death,,,Family background,,
,4501,Non-accidental death in close genetic family,,,Family background,,
Mental,20126,Bipolar and major depression status,,,Mental,,
,20122,Bipolar disorder status,,,Mental,,
,20127,Neuroticism score,,,main,,
,1920,Mood swings,"501,573",4,Mental,,
,1930,Miserableness,"501,573",4,Mental,,
,1940,Irritability,,,Mental,,
,1950,Sensitivity / hurt feelings,,,Mental,,
,1960,Fed-up feelings,,,Mental,,
,1970,Nervous feelings,,,Mental,,
,1980,Worrier / anxious feelings,,,Mental,,
,1990,Tense / 'highly strung',,,Mental,,
,2000,Worry too long after embarrassment,,,Mental,,
,2010,Suffer from 'nerves',,,Mental,,
,2020,"Loneliness, isolation",,,Mental,,
,2030,Guilty feelings,,,Mental,,
,4526,Happiness,,,Mental,,
,2050,Frequency of depressed mood in last 2 weeks,,,Mental,,
,2060,Frequency of unenthusiasm / disinterest in last 2 weeks,,,Mental,,
,2070,Frequency of tenseness / restlessness in last 2 weeks,,,Mental,,
,2080,Frequency of tiredness / lethargy in last 2 weeks,,,Mental,,
,2090,"Seen doctor (GP) for nerves, anxiety, tension or depression",,,Mental,,
,20499,Ever sought or received professional help for mental distress,,,,,
,20428,Professional informed about anxiety,,,,,
,20448,Professional informed about depression,,,,,
,,,,,,,
,2100,"Seen a psychiatrist for nerves, anxiety, tension or depression",,,Mental,,
,4598,Ever depressed for a whole week,,,Mental,,
,4609,Longest period of depression,,,Mental,,
,4620,Number of depression episodes,,,Mental,,
,4631,Ever unenthusiastic/disinterested for a whole week,,,Mental,,
,5375,Longest period of unenthusiasm / disinterest,,,Mental,,
,5386,Number of unenthusiastic/disinterested episodes,,,Mental,,
,4642,Ever manic/hyper for 2 days,,,Mental,,
,4653,Ever highly irritable/argumentative for 2 days,,,Mental,,
,6156,Manic/hyper symptoms,,,Mental,,
,5663,Length of longest manic/irritable episode,,,Mental,,
,5674,Severity of manic/irritable episodes,,,Mental,,
,6145,"Illness, injury, bereavement, stress in last 2 years",,,Mental,,
Social activity,1031,Frequency of friend/family visits,,,Mental,,
,6160,Leisure/social activities,,,,,
,,,,,,,
inflammation,6149,Mouth/teeth dental problems,"498,676",,main,,
"Stroke, heart, high hypertension",6150,Vascular/heart problems diagnosed by doctor,"501,537",,main,,
high hypertension,2966,Age high blood pressure diagnosed,"140,676",,main,,depends on 6150
,4079,"Diastolic blood pressure, automated reading","475,160",,blood pressure,,
,94,"Diastolic blood pressure, manual reading","48,873",,blood pressure,,
,4080,"Systolic blood pressure, automated reading","475,155",,blood pressure,,
,93,"Systolic blood pressure, manual reading","48,873",,blood pressure,,
,3894,Age heart attack diagnosed,"12,230",4,medical history,,
,3627,Age angina diagnosed,"16,798",4,medical history,,
,4056,Age stroke diagnosed,"8,224",4,medical history,,
Diabetes,2443,Diabetes diagnosed by doctor,"501,546",4,main,,
,2976,Age diabetes diagnosed,"27,011",4,main,,
,2986,Started insulin within one year diagnosis of diabetes,"27,036",4,medical history,,
"cholesterol, blood pressure, diabetes",6177,"Medication for cholesterol, blood pressure or diabetes","227,345",4,main,,
,6153,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones","271,306",4,main,,
,6154,"Medication for pain relief, constipation, heartburn",,,,,
hearing,2247,Hearing difficulty/problems,"498,676",4,main,,
,4849,Hearing test done,"213,424",4,hearing,,
,4232,Triplet correct (left),"206,999",4,hearing,,hearing test
,4243,Triplet correct (right),"207,089",4,hearing,,hearing test
cognitive tests,20023,Mean time to correctly identify matches,"496,809",4,cognitive,,reaction time test
,4281,Completion status of numeric memory test,"83,045",3,cognitive,,numeric memory test
,4282,Maximum digits remembered correctly,"83,045",3,cognitive,,numeric memory test
,20016,Fluid intelligence score,"205,331",4,cognitive,,reasoning test
,6373,Number of puzzles correctly solved,"33,860",2,cognitive,,pattern complitaion test
,6374,Number of puzzles viewed,"33,860",2,cognitive,,pattern complitaion test
,6364,Vocabulary level,"33,810",2,cognitive,,vocabulary test
,23323,Number of symbol digit matches attempted,"33,885",2,cognitive,,symbol digit test
,23324,Number of symbol digit matches made correctly,"33,885",2,cognitive,,symbol digit test
,20197,Number of word pairs correctly associated,"34,252",2,cognitive,,association test
,20018,Prospective memory result,"211,950",4,cognitive,,prospective memoty test
,4287,Test completion status,"211,950",4,cognitive,,prospective memoty test
,399,Number of incorrect matches in round,"498,711",4,cognitive,,memory test
,120042,Cognitive symptoms severity over the past week,,,,,
Lab,30620,Alanine aminotransferase,"470,616",2,lab,,
,30600,Albumin,"432,299",2,lab,,
,30610,Alkaline phosphatase,,,lab,,
,30630,Apolipoprotein A,,,lab,,
,30640,Apolipoprotein B,,,lab,,
,30650,Aspartate aminotransferase,,,lab,,
,30710,C-reactive protein,"469,815",2,main,,
,30680,Calcium,,,lab,,
,30690,Cholesterol,"470,804",2,main,,
,30700,Creatinine,,,lab,,
,30720,Cystatin C,,,lab,,
,30660,Direct bilirubin,,,lab,,
,30730,Gamma glutamyltransferase,,,lab,,
,30740,Glucose,,,lab,,
,30750,Glycated haemoglobin (HbA1c),,,lab,,
,30760,HDL cholesterol,"432,096",2,main,,
,30770,IGF-1,,,lab,,
,30780,LDL direct,"469,966",2,main,,
,30790,Lipoprotein A,,,lab,,
,30800,Oestradiol,,,lab,,
,30810,Phosphate,,,lab,,
,30820,Rheumatoid factor,,,lab,,
,30830,SHBG,,,lab,,
,30850,Testosterone,,,lab,,
,30840,Total bilirubin,,,lab,,
,30860,Total protein,,,lab,,
,30870,Triglycerides,,,lab,,
,30880,Urate,,,lab,,
,6149,Mouth/teeth dental problems,"498,716",,lab,,
,131562,Date K05 first reported (gingivitis and periodontal diseases),"2,164",1,,,
,30670,Urea,,,lab,,
,30890,Vitamin D,"449,913",2,main,,
,,Liver inflammation factor (LIF),,,,,
,131130,Date H01 first reported (other inflammation of eyelid),,,,,
,131172,Date H30 first reported (chorioretinal inflammation),,,,,
,132118,Date N76 first reported (other inflammation of vagina and vulva),,,,,
,132120,Date N77 first reported (vulvovaginal ulceration and inflammation in diseases classified elsewhere),,,,,
,131130,Date H01 first reported (other inflammation of eyelid),,,,,
,23236,Total BMD (bone mineral density),"42,747",2,lab,,
,20003,Treatment/medication code,"1,394,926",4,,,
Alzheimer Metadata,130836,Date F00 first reported (dementia in alzheimer's disease),,,,,
,131036,Date G30 first reported (alzheimer's disease),,,,,
,42020,Date of alzheimer's disease report,,,,,
,42021,Source of alzheimer's disease report,,,,,
,130837,Source of report of F00 (dementia in alzheimer's disease),,,,,
,131037,Source of report of G30 (alzheimer's disease),,,,,
FMRI,20227,Functional brain images - resting - NIFTI,,,,,
,20225,Functional brain images - resting - DICOM,,,,,
,25739,Discrepancy between rfMRI brain image and T1 brain image,,,,,
,25750,"rfMRI full correlation matrix, dimension 25",,,,,
,25752,"rfMRI partial correlation matrix, dimension 25",,,,,
,25754,"rfMRI component amplitudes, dimension 25",,,,,
,25751,"rfMRI full correlation matrix, dimension 100",,,,,
,25753,"rfMRI partial correlation matrix, dimension 100",,,,,
,25755,"rfMRI component amplitudes, dimension 100",,,,,
,25741,"Mean rfMRI head motion, averaged across space and time points",,,,,
,25744,Inverted temporal signal-to-noise ratio in artefact-cleaned pre-processed rfMRI,,,,,
,25743,Inverted temporal signal-to-noise ratio in pre-processed rfMRI,,,,,
