Risk factor,ID,Subject,# items,# instances,pickle type,Do we have acsses,notes
,2000,Worry too long after embarrassment,587906,4,Mental,,
,2010,Suffer from 'nerves',587906,4,Mental,,
,2020,"Loneliness, isolation",587905,4,Mental,,
,2030,Guilty feelings,"587,905 ",4,Mental,,
,4526,Happiness,259079,4,Mental,,
,2050,Frequency of depressed mood in last 2 weeks,587905,4,Mental,,
,2060,Frequency of unenthusiasm / disinterest in last 2 weeks,587904,4,Mental,,
,2070,Frequency of tenseness / restlessness in last 2 weeks,587903,4,Mental,,
,2080,Frequency of tiredness / lethargy in last 2 weeks,587902,4,Mental,,
,2090,"Seen doctor (GP) for nerves, anxiety, tension or depression",587901,4,Mental,,
,20499,Ever sought or received professional help for mental distress,157305,Singular,Mental,,
,20428,Professional informed about anxiety,48751,Singular,Mental,,
,20448,Professional informed about depression,89003,Singular,Mental,,
,2100,"Seen a psychiatrist for nerves, anxiety, tension or depression",587901,4,Mental,,
,4598,Ever depressed for a whole week,259079,4,Mental,,
,4609,Longest period of depression,132071,4,Mental,,
,4620,Number of depression episodes,132071,4,Mental,,
,4631,Ever unenthusiastic/disinterested for a whole week,259079,4,Mental,,
,5375,Longest period of unenthusiasm / disinterest,86721,4,Mental,,
,5386,Number of unenthusiastic/disinterested episodes,86717,4,Mental,,
,4642,Ever manic/hyper for 2 days,259079,4,Mental,,
,4653,Ever highly irritable/argumentative for 2 days,259079,4,Mental,,
,6156,Manic/hyper symptoms,55948,4,Mental,,
,5663,Length of longest manic/irritable episode,47613,4,Mental,,
,5674,Severity of manic/irritable episodes,47613,4,Mental,,
,6145,"Illness, injury, bereavement, stress in last 2 years",665982,4,Mental,,
Social activity,1031,Frequency of friend/family visits,584160,4,Mental,,
,6160,Leisure/social activities,778097,4,,,
inflammation,6149,Mouth/teeth dental problems,498676,4,main,,
"Stroke, heart, high hypertension",6150,Vascular/heart problems diagnosed by doctor,501537,3,main,,
high hypertension,2966,Age high blood pressure diagnosed,140676,4,main,,depends on 6150
,4079,"Diastolic blood pressure, automated reading",475160,4,blood pressure,,
,94,"Diastolic blood pressure, manual reading",48873,4,blood pressure,,
,4080,"Systolic blood pressure, automated reading",475155,4,blood pressure,,
,93,"Systolic blood pressure, manual reading",48873,4,blood pressure,,
,3894,Age heart attack diagnosed,12230,4,medical history,,
,3627,Age angina diagnosed,16798,4,medical history,,
,4056,Age stroke diagnosed,8224,4,medical history,,
Diabetes,2443,Diabetes diagnosed by doctor,501546,4,main,,
,2976,Age diabetes diagnosed,27011,4,main,,
,2986,Started insulin within one year diagnosis of diabetes,27036,4,medical history,,
"cholesterol, blood pressure, diabetes",6177,"Medication for cholesterol, blood pressure or diabetes",227345,4,main,,
,6153,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones",271306,4,main,,
,6154,"Medication for pain relief, constipation, heartburn",684466,4,,,
hearing,2247,Hearing difficulty/problems,498676,4,main,,
,4849,Hearing test done,213424,4,hearing,,
,4232,Triplet correct (left),206999,4,hearing,,hearing test
,4243,Triplet correct (right),207089,4,hearing,,hearing test
cognitive tests,20023,Mean time to correctly identify matches,496809,4,cognitive,,reaction time test
,4281,Completion status of numeric memory test,83045,3,cognitive,,numeric memory test
,4282,Maximum digits remembered correctly,83045,3,cognitive,,numeric memory test
,20016,Fluid intelligence score,205331,4,cognitive,,reasoning test
,6373,Number of puzzles correctly solved,33860,2,cognitive,,pattern complitaion test
,6374,Number of puzzles viewed,33860,2,cognitive,,pattern complitaion test
,6364,Vocabulary level,33810,2,cognitive,,vocabulary test
,23323,Number of symbol digit matches attempted,33885,2,cognitive,,symbol digit test
,23324,Number of symbol digit matches made correctly,33885,2,cognitive,,symbol digit test
,20197,Number of word pairs correctly associated,34252,2,cognitive,,association test
,20018,Prospective memory result,211950,4,cognitive,,prospective memoty test
,4287,Test completion status,211950,4,cognitive,,prospective memoty test
,399,Number of incorrect matches in round,498711,4,cognitive,,memory test
,120042,Cognitive symptoms severity over the past week,167191,Singular,,,
Lab,30620,Alanine aminotransferase,470616,2,lab,,
,30600,Albumin,432299,2,lab,,
,30610,Alkaline phosphatase,487362,2,lab,,
,30630,Apolipoprotein A,442980,2,lab,,
,30640,Apolipoprotein B,484887,2,lab,,
,30650,Aspartate aminotransferase,485492,2,lab,,
,30710,C-reactive protein,469815,2,main,,
,30680,Calcium,445520,2,lab,,
,30690,Cholesterol,470804,2,main,,
,30700,Creatinine,487090,2,lab,,
,30720,Cystatin C,487312,2,lab,,
,30660,Direct bilirubin,413566,2,lab,,
,30730,Gamma glutamyltransferase,487095,2,lab,,
,30740,Glucose,445154,2,lab,,
,30750,Glycated haemoglobin (HbA1c),480660,2,lab,,
,30760,HDL cholesterol,432096,2,main,,
,30770,IGF-1,484630,2,lab,,
,30780,LDL direct,469966,2,main,,
,30790,Lipoprotein A,389774,2,lab,,
,30800,Oestradiol,78504,2,lab,,
,30810,Phosphate,444802,2,lab,,
,30820,Rheumatoid factor,42991,2,lab,,
,30830,SHBG,441206,2,lab,,
,30850,Testosterone,441144,2,lab,,
,30840,Total bilirubin,485226,2,lab,,
,30860,Total protein,445190,2,lab,,
,30870,Triglycerides,486948,2,lab,,
,30880,Urate,486744,2,lab,,
,6149,Mouth/teeth dental problems,498716,4,lab,,
,131562,Date K05 first reported (gingivitis and periodontal diseases),2164,1,,,
,30670,Urea,487012,2,lab,,
,30890,Vitamin D,449913,2,main,,
,20003,Treatment/medication code,1407778,4,,,
,6155,Vitamin and mineral supplements,671599,4,,,
,10723,Vitamin supplements (pilot),4471,1,,,
,20084,Vitamin and/or mineral supplement use,451323,5,,,
,26021,Vitamin B12,458477,5,,,
,26020,Vitamin B6,458477,5,,,
,26028,Vitamin E,458477,5,,,
,26023,Vitamin C,458477,5,,,
,6154,"Medication for pain relief, constipation, heartburn",684466,4,,,
,22401,Liver inflammation factor (LIF),1095,1,,,
,131130,Date H01 first reported (other inflammation of eyelid),6007,Singular,,,
,131172,Date H30 first reported (chorioretinal inflammation),253,Singular,,,
,132118,Date N76 first reported (other inflammation of vagina and vulva),5116,Singular,,,
,132120,Date N77 first reported (vulvovaginal ulceration and inflammation in diseases classified elsewhere),496,Singular,,,
,131130,Date H01 first reported (other inflammation of eyelid),6007,Singular,,,
,23236,Total BMD (bone mineral density),42747,2,lab,,
,20003,Treatment/medication code,1394926,4,,,
Alzheimer Metadata,130836,Date F00 first reported (dementia in alzheimer's disease),2350,Singular,,,
,131036,Date G30 first reported (alzheimer's disease),3352,Singular,,,
,42020,Date of alzheimer's disease report,3290,Singular,,,
,42021,Source of alzheimer's disease report,3290,Singular,,,
,130837,Source of report of F00 (dementia in alzheimer's disease),2350,Singular,,,
,131037,Source of report of G30 (alzheimer's disease),3352,Singular,,,
FMRI,20227,Functional brain images - resting - NIFTI,49029,2,,,
,20225,Functional brain images - resting - DICOM,61054,2,,,
,25739,Discrepancy between rfMRI brain image and T1 brain image,45559,2,,,
,25750,"rfMRI full correlation matrix, dimension 25",45520,2,,,
,25752,"rfMRI partial correlation matrix, dimension 25",45520,2,,,
,25754,"rfMRI component amplitudes, dimension 25",45520,2,,,
,25751,"rfMRI full correlation matrix, dimension 100",45520,2,,,
,25753,"rfMRI partial correlation matrix, dimension 100",45520,2,,,
,25755,"rfMRI component amplitudes, dimension 100",45520,2,,,
,25741,"Mean rfMRI head motion, averaged across space and time points",45559,2,,,
,25744,Inverted temporal signal-to-noise ratio in artefact-cleaned pre-processed rfMRI,45559,2,,,
,25743,Inverted temporal signal-to-noise ratio in pre-processed rfMRI,45559,2,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
